Sink ID, Process ID, Thread ID, Time (Ticks), Text
STREAM_KERNEL1,0,0,3067143712,"========= Mapping File configuration =========
"
STREAM_KERNEL1,0,0,3067265608,"version:1
app0:""host0:C:/Users/GBAnthonyM.EU/Desktop/Front mission 5/Game/testbuild""
savedata0:""host0:C:/Users/GBAnthonyM.EU/Desktop/Front mission 5/Game/testbuild/savedata""
addcont0:""""
otherApps:""""
otherAppsPatches:""""
otherAppsSavedata:""""
otherApp"
STREAM_KERNEL1,0,0,3067471249,"sContents:""""
"
STREAM_KERNEL1,0,0,3067564393,"overlay1type:1
overlay1order:0
overlay1src:""""
overlay1dst:""""
"
STREAM_KERNEL1,0,0,3067628137,"overlay2type:1
overlay2order:0
overlay2src:""""
overlay2dst:""""
"
STREAM_KERNEL1,0,0,3067694194,"overlay3type:1
overlay3order:0
overlay3src:""""
overlay3dst:""""
"
STREAM_KERNEL1,0,0,3067777759,"overlay4type:1
overlay4order:0
overlay4src:""""
overlay4dst:""""
"
STREAM_KERNEL1,0,0,3067840465,"overlay5type:1
overlay5order:0
overlay5src:""""
overlay5dst:""""
"
STREAM_KERNEL1,0,0,3067902091,"overlay6type:1
overlay6order:0
overlay6src:""""
overlay6dst:""""
"
STREAM_KERNEL1,0,0,3067971124,"overlay7type:1
overlay7order:0
overlay7src:""""
overlay7dst:""""
"
STREAM_KERNEL1,0,0,3068038801,"overlay8type:1
overlay8order:0
overlay8src:""""
overlay8dst:""""
"
STREAM_KERNEL1,0,0,3068100967,"==============================================
"
STREAM_KERNEL3,0,0,3133806076,"[SceImePlugin               ]:Starting...  OK        648usec
"
STREAM_KERNEL0,0,0,4705303402,"app0: -> host0:C:/Users/GBAnthonyM.EU/Desktop/Front mission 5/Game/testbuild
"
STREAM_KERNEL0,0,0,4706057782,"addcont0: skipped -> NPXS10999
"
STREAM_KERNEL2,0,0,4714912306,"savedata0: OK -> host0:C:/Users/GBAnthonyM.EU/Desktop/Front mission 5/Game/testbuild/savedata
"
STREAM_KERNEL2,0,0,4715133229,"skipped overlay1
"
STREAM_KERNEL2,0,0,4715261317,"skipped overlay2
"
STREAM_KERNEL2,0,0,4715325937,"skipped overlay3
"
STREAM_KERNEL2,0,0,4715388184,"skipped overlay4
"
STREAM_KERNEL2,0,0,4715460799,"skipped overlay5
"
STREAM_KERNEL2,0,0,4715522722,"skipped overlay6
"
STREAM_KERNEL2,0,0,4715584438,"skipped overlay7
"
STREAM_KERNEL2,0,0,4715645404,"skipped overlay8
"
STREAM_KERNEL3,0,0,5258063647,"[SceLibKernel               ]:Starting...  OK        764usec
"
STREAM_KERNEL3,0,0,5259022702,"[SceDriverUser              ]:Starting...  OK        701usec
"
STREAM_KERNEL3,0,0,5259477232,"[SceAvcodecUser             ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,5260103932,"[SceGpuEs4User              ]:Starting...  OK        653usec
"
STREAM_KERNEL3,0,0,5261071048,"[SceGxmDbg                  ]:Starting...  OK        553usec
"
STREAM_KERNEL3,0,0,5262508366,"[SceLibFios2                ]:Starting...  OK        843usec
"
STREAM_KERNEL3,0,0,5265349063,"[SceLibc                    ]:Starting...  OK       2044usec
"
STREAM_KERNEL3,0,0,5267005756,"[SceShellSvc                ]:Starting...  OK       2675usec
"
STREAM_KERNEL3,0,0,5268302887,"[SceCommonDialog            ]:Starting...  OK       1665usec
"
STREAM_KERNEL3,0,0,5268540229,"[SceLibDbg                  ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,5268786802,"[SceLibft2                  ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,5269145671,"[SceLibPvf                  ]:Starting...  OK          1usec
"
STREAM_KERNEL3,0,0,5270056069,"[SceAppUtil                 ]:Starting...  OK        535usec
"
STREAM_KERNEL3,0,0,5270591908,"[ScePerf                    ]:Starting...  OK        529usec
"
STREAM_KERNEL0,0,0,5277870928,"[SceFiber                   ]:Starting...  OK        831usec
"
STREAM_KERNEL0,0,0,5289945472,"[SceUlt                     ]:Starting...  OK        538usec
"
STREAM_STDOUT,400673,1073807363,5293948210,"Enter main - kernel memory in MB - main:472 cdram:112 physical continuous:26
"
STREAM_KERNEL0,0,0,5306163526,"[PTHREAD_PRX                ]:Starting...  OK        933usec
"
STREAM_KERNEL0,0,0,5314285498,"[SUPRXManager               ]:Starting...  OK        826usec
"
STREAM_KERNEL0,0,0,5325626320,"[SceNet                     ]:Starting...  OK        574usec
"
STREAM_KERNEL0,0,0,5333451214,"[SceLibNetCtl               ]:Starting...  OK          0usec
"
STREAM_KERNEL0,0,0,5345718193,"[SceRazorCapture            ]:Starting...  OK        580usec
"
STREAM_STDOUT,400673,1073807363,5498498626,"Mono path[0] = 'app0:Media/Managed'
"
STREAM_KERNEL0,0,0,5497512946,"[MONO                       ]:Starting...  OK        815usec
"
STREAM_STDOUT,400673,1073807363,5498589811,"Mono config path = 'app0:Media/Managed'
"
STREAM_STDOUT,400673,1073807363,5653324624,"mono_network_init: Using socket library: WAPImono_network_init: Socket system status: groovyPlayerConnection initialized from app0:/Media (debug = 0)
"
STREAM_STDOUT,400673,1073807363,5653452439,"created1 socket 0x1
"
STREAM_STDOUT,400673,1073807363,5653958833,"created1 socket 0x2
"
STREAM_STDOUT,400673,1073807363,5656984822,"PlayerConnection initialized network socket : 0.0.0.0 55251
"
STREAM_KERNEL0,0,0,5657118079,"warning: 55251 is a reserved port that cannot be used when the title is released.
"
STREAM_STDOUT,400673,1073807363,5657528617,"Multi-casting ""[IP] 192.168.0.119 [Port] 55251 [Flags] 3 [Guid] 438402112 [EditorId] 3707591496 [Version] 1048832 [Id] PSP2Player(192.168.0.119) [Debug] 0"" to [225.0.0.222:54997]...
"
STREAM_STDOUT,400673,1073807363,5657646889,"Waiting for connection from host on [192.168.0.119:55251]...
"
STREAM_STDOUT,400673,1073807363,5657797768,"sending to address socket:0x1 size:140 result:140
"
STREAM_STDOUT,400673,1073807363,5674555585,"sending to address socket:0x1 size:140 result:140
"
STREAM_STDOUT,400673,1073807363,5691311809,"sending to address socket:0x1 size:140 result:140
"
STREAM_STDOUT,400673,1073807363,5708064574,"sending to address socket:0x1 size:140 result:140
"
STREAM_STDOUT,400673,1073807363,5724840295,"sending to address socket:0x1 size:140 result:140
"
STREAM_STDOUT,400673,1073807363,5741590708,"sending to address socket:0x1 size:140 result:140
"
STREAM_STDOUT,400673,1073807363,5758343278,"sending to address socket:0x1 size:140 result:140
"
STREAM_STDOUT,400673,1073807363,5775094474,"sending to address socket:0x1 size:140 result:140
"
STREAM_STDOUT,400673,1073807363,5791845403,"sending to address socket:0x1 size:140 result:140
"
STREAM_STDOUT,400673,1073807363,5808599185,"sending to address socket:0x1 size:140 result:140
"
STREAM_STDOUT,400673,1073807363,5825351926,"sending to address socket:0x1 size:140 result:140
"
STREAM_STDOUT,400673,1073807363,5842104385,"sending to address socket:0x1 size:140 result:140
"
